iter	Passed	Remaining
0	141	141141
1	142	70893
2	142	47447
3	143	35711
4	144	28688
5	144	23984
6	145	20618
7	145	18099
8	146	16141
9	147	14569
10	147	13285
11	148	12214
12	148	11310
13	149	10546
14	150	9872
15	150	9282
16	151	8763
17	152	8302
18	152	7890
19	153	7516
20	153	7179
21	154	6873
22	155	6604
23	156	6348
24	156	6111
25	157	5892
26	157	5691
27	158	5504
28	159	5329
29	159	5165
30	160	5015
31	161	4876
32	162	4748
33	162	4627
34	163	4513
35	164	4407
36	165	4307
37	166	4211
38	167	4119
39	167	4031
40	168	3944
41	169	3863
42	169	3783
43	170	3706
44	171	3635
45	171	3566
46	172	3499
47	173	3438
48	174	3378
49	174	3320
50	175	3264
51	176	3210
52	176	3157
53	177	3106
54	177	3057
55	178	3010
56	179	2965
57	179	2922
58	180	2880
59	181	2840
60	182	2801
61	182	2763
62	183	2726
63	183	2689
64	184	2654
65	185	2622
66	186	2590
67	186	2558
68	187	2527
69	188	2497
70	188	2467
71	189	2440
72	189	2412
73	190	2384
74	191	2359
75	192	2335
76	192	2311
77	193	2287
78	194	2264
79	195	2242
80	195	2220
81	196	2198
82	196	2174
83	197	2153
84	198	2134
85	198	2114
86	199	2094
87	200	2075
88	200	2057
89	201	2038
90	202	2020
91	203	2004
92	204	1993
93	205	1978
94	206	1962
95	206	1946
96	207	1929
97	207	1913
98	208	1897
99	209	1882
100	209	1868
101	210	1854
102	211	1840
103	212	1827
104	212	1813
105	213	1799
106	214	1786
107	214	1772
108	215	1759
109	216	1747
110	216	1736
111	217	1725
112	218	1713
113	218	1701
114	219	1689
115	220	1677
116	220	1664
117	221	1653
118	221	1643
119	222	1633
120	223	1623
121	224	1612
122	224	1602
123	225	1591
124	226	1582
125	226	1572
126	227	1561
127	227	1552
128	228	1544
129	229	1535
130	230	1526
131	231	1519
132	231	1511
133	232	1502
134	233	1493
135	233	1485
136	234	1477
137	235	1469
138	236	1461
139	236	1453
140	237	1445
141	237	1436
142	238	1428
143	238	1420
144	239	1412
145	240	1405
146	241	1398
147	241	1391
148	242	1385
149	243	1378
150	243	1371
151	244	1364
152	245	1357
153	245	1350
154	246	1343
155	247	1337
156	248	1331
157	248	1325
158	249	1319
159	249	1312
160	250	1304
161	251	1298
162	251	1292
163	252	1285
164	252	1279
165	253	1274
166	254	1269
167	255	1263
168	255	1257
169	256	1251
170	256	1245
171	257	1239
172	258	1234
173	258	1229
174	259	1223
175	260	1218
176	260	1213
177	261	1207
178	262	1202
179	262	1197
180	263	1191
181	264	1186
182	264	1181
183	265	1176
184	266	1171
185	266	1167
186	267	1162
187	268	1157
188	268	1152
189	269	1147
190	269	1143
191	270	1138
192	271	1134
193	272	1130
194	272	1125
195	273	1121
196	274	1117
197	274	1112
198	275	1109
199	276	1105
200	276	1100
201	277	1096
202	278	1093
203	279	1089
204	279	1085
205	280	1081
206	281	1077
207	281	1073
208	282	1068
209	283	1064
210	283	1060
211	284	1057
212	285	1053
213	286	1050
214	286	1047
215	287	1044
216	288	1041
217	289	1038
218	290	1035
219	291	1032
220	292	1029
221	292	1026
222	293	1022
223	294	1018
224	294	1014
225	295	1011
226	295	1007
227	296	1004
228	297	1000
229	297	997
230	298	994
231	299	990
232	299	987
233	300	983
234	301	980
235	301	976
236	302	973
237	303	970
238	303	967
239	304	963
240	304	960
241	305	957
242	306	953
243	306	950
244	307	947
245	307	943
246	308	940
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	313	919
254	313	916
255	314	913
256	315	910
257	315	907
258	316	905
259	317	902
260	317	899
261	318	896
262	318	893
263	319	890
264	320	887
265	320	885
266	321	882
267	322	879
268	322	877
269	323	874
270	324	871
271	324	869
272	325	866
273	325	863
274	326	860
275	327	858
276	327	856
277	328	853
278	329	850
279	329	848
280	330	845
281	331	843
282	331	840
283	332	838
284	333	835
285	333	833
286	334	831
287	335	828
288	335	826
289	336	823
290	337	821
291	337	819
292	338	816
293	339	814
294	339	811
295	340	810
296	341	808
297	342	806
298	342	803
299	343	801
300	344	799
301	344	796
302	345	794
303	345	792
304	346	790
305	347	788
306	348	785
307	348	783
308	349	781
309	350	779
310	350	776
311	351	774
312	351	772
313	352	770
314	353	768
315	353	766
316	354	763
317	355	761
318	356	760
319	356	757
320	357	755
321	357	753
322	358	751
323	359	749
324	359	747
325	360	745
326	361	743
327	361	741
328	362	739
329	363	737
330	363	735
331	364	733
332	365	731
333	365	729
334	366	727
335	367	725
336	367	723
337	368	721
338	369	719
339	369	717
340	370	716
341	371	714
342	372	713
343	373	711
344	373	709
345	374	708
346	375	706
347	376	704
348	376	702
349	377	701
350	378	699
351	378	697
352	379	695
353	380	693
354	380	691
355	381	689
356	382	688
357	382	686
358	383	685
359	384	683
360	384	681
361	385	679
362	386	677
363	387	676
364	387	674
365	388	672
366	389	670
367	389	669
368	390	667
369	391	665
370	391	664
371	392	662
372	393	660
373	393	658
374	394	657
375	394	655
376	395	653
377	396	652
378	396	650
379	397	648
380	398	647
381	398	645
382	399	643
383	400	641
384	400	640
385	401	638
386	402	637
387	403	635
388	403	633
389	404	632
390	404	630
391	405	628
392	406	627
393	406	625
394	407	624
395	408	622
396	408	621
397	409	619
398	410	617
399	410	616
400	411	614
401	412	613
402	413	612
403	414	611
404	415	609
405	415	608
406	416	606
407	417	605
408	417	603
409	418	601
410	418	600
411	419	598
412	420	597
413	420	595
414	421	594
415	422	592
416	422	591
417	423	589
418	424	588
419	424	586
420	425	585
421	426	583
422	426	582
423	427	580
424	428	579
425	428	577
426	429	576
427	430	574
428	430	573
429	431	571
430	431	570
431	432	569
432	433	567
433	434	566
434	434	564
435	435	563
436	435	561
437	436	560
438	437	558
439	438	557
440	438	556
441	439	554
442	440	553
443	441	552
444	442	551
445	442	549
446	443	548
447	443	546
448	444	545
449	445	544
450	445	542
451	446	541
452	447	540
453	447	538
454	448	537
455	449	535
456	449	534
457	450	532
458	451	531
459	451	530
460	452	529
461	453	527
462	453	526
463	454	524
464	454	523
465	455	521
466	456	520
467	456	519
468	457	518
469	458	516
470	459	515
471	459	514
472	460	512
473	460	511
474	461	510
475	462	508
476	462	507
477	463	505
478	464	504
479	464	503
480	465	502
481	466	501
482	466	499
483	467	498
484	468	497
485	468	495
486	469	494
487	470	493
488	471	492
489	471	491
490	472	489
491	473	488
492	474	487
493	475	486
494	475	485
495	476	484
496	477	483
497	477	481
498	478	480
499	479	479
500	479	478
501	480	476
502	481	475
503	482	474
504	482	473
505	483	471
506	484	470
507	484	469
508	485	468
509	485	466
510	486	465
511	486	464
512	487	462
513	488	461
514	489	461
515	490	459
516	491	458
517	491	457
518	492	456
519	493	455
520	493	454
521	494	452
522	495	452
523	496	450
524	497	449
525	497	448
526	498	447
527	499	446
528	500	445
529	501	444
530	501	443
531	502	442
532	503	441
533	504	439
534	504	438
535	505	437
536	506	436
537	506	435
538	507	434
539	508	432
540	508	431
541	509	430
542	510	429
543	510	428
544	511	427
545	512	425
546	512	424
547	513	423
548	514	422
549	515	421
550	515	420
551	516	419
552	516	417
553	517	416
554	518	415
555	518	414
556	519	413
557	520	412
558	521	411
559	521	410
560	522	408
561	523	407
562	523	406
563	524	405
564	525	404
565	526	403
566	527	402
567	527	401
568	528	400
569	529	399
570	529	398
571	530	396
572	531	395
573	531	394
574	532	393
575	533	392
576	533	391
577	534	390
578	535	389
579	535	388
580	536	386
581	537	385
582	538	385
583	539	384
584	540	383
585	540	382
586	541	381
587	542	380
588	542	378
589	543	377
590	544	376
591	545	375
592	546	374
593	546	373
594	547	372
595	548	371
596	548	370
597	549	369
598	550	368
599	551	367
600	551	366
601	552	365
602	553	364
603	553	363
604	554	361
605	555	360
606	555	359
607	556	358
608	557	357
609	558	356
610	558	355
611	559	354
612	559	353
613	560	352
614	561	351
615	561	350
616	562	349
617	563	348
618	564	347
619	564	346
620	565	345
621	566	344
622	567	343
623	568	342
624	568	341
625	569	340
626	570	339
627	571	338
628	571	337
629	572	336
630	572	335
631	573	333
632	574	332
633	574	331
634	575	330
635	576	329
636	577	328
637	577	327
638	578	326
639	579	325
640	579	324
641	580	323
642	581	322
643	582	321
644	582	320
645	583	319
646	584	318
647	584	317
648	585	316
649	585	315
650	586	314
651	587	313
652	587	312
653	588	311
654	589	310
655	589	309
656	590	308
657	591	307
658	591	306
659	592	305
660	593	304
661	594	303
662	595	302
663	596	301
664	596	300
665	597	299
666	598	298
667	598	297
668	599	296
669	600	295
670	601	294
671	601	293
672	602	292
673	602	291
674	603	290
675	604	289
676	604	288
677	605	287
678	606	286
679	606	285
680	607	284
681	608	283
682	608	282
683	609	281
684	610	280
685	610	279
686	611	278
687	611	277
688	612	276
689	613	275
690	614	274
691	614	273
692	615	272
693	616	271
694	616	270
695	617	269
696	617	268
697	618	267
698	619	266
699	620	265
700	620	264
701	621	263
702	622	262
703	622	261
704	623	260
705	623	259
706	624	258
707	625	257
708	625	256
709	626	255
710	627	254
711	627	253
712	628	252
713	629	251
714	629	250
715	630	249
716	630	249
717	631	248
718	632	247
719	633	246
720	633	245
721	634	244
722	635	243
723	635	242
724	636	241
725	637	240
726	638	239
727	638	238
728	639	237
729	640	236
730	640	235
731	641	234
732	641	233
733	642	232
734	643	231
735	644	231
736	644	230
737	645	229
738	646	228
739	646	227
740	647	226
741	648	225
742	648	224
743	649	223
744	650	222
745	651	221
746	651	220
747	652	219
748	653	218
749	653	217
750	654	217
751	655	216
752	656	215
753	656	214
754	657	213
755	658	212
756	658	211
757	659	210
758	660	209
759	660	208
760	661	207
761	662	206
762	663	205
763	664	205
764	664	204
765	665	203
766	666	202
767	666	201
768	667	200
769	668	199
770	669	198
771	669	197
772	670	196
773	671	195
774	671	195
775	672	194
776	673	193
777	673	192
778	674	191
779	675	190
780	675	189
781	676	188
782	677	187
783	677	186
784	678	185
785	679	184
786	679	183
787	680	183
788	681	182
789	682	181
790	682	180
791	683	179
792	684	178
793	684	177
794	685	176
795	685	175
796	686	174
797	687	174
798	688	173
799	689	172
800	689	171
801	690	170
802	691	169
803	691	168
804	692	167
805	693	166
806	694	166
807	695	165
808	695	164
809	696	163
810	696	162
811	697	161
812	698	160
813	698	159
814	699	158
815	700	157
816	700	156
817	701	156
818	702	155
819	702	154
820	703	153
821	703	152
822	704	151
823	705	150
824	706	149
825	706	148
826	707	147
827	708	147
828	708	146
829	709	145
830	709	144
831	710	143
832	711	142
833	712	141
834	712	140
835	713	139
836	714	139
837	714	138
838	715	137
839	715	136
840	716	135
841	717	134
842	718	133
843	718	132
844	719	131
845	720	131
846	720	130
847	721	129
848	722	128
849	722	127
850	723	126
851	723	125
852	724	124
853	725	124
854	726	123
855	726	122
856	727	121
857	728	120
858	728	119
859	729	118
860	729	117
861	730	117
862	731	116
863	732	115
864	732	114
865	733	113
866	734	112
867	734	111
868	735	110
869	735	109
870	736	109
871	737	108
872	737	107
873	738	106
874	739	105
875	739	104
876	740	103
877	741	102
878	741	102
879	742	101
880	743	100
881	743	99
882	744	98
883	745	97
884	745	96
885	746	96
886	746	95
887	747	94
888	748	93
889	748	92
890	749	91
891	750	90
892	751	89
893	751	89
894	752	88
895	753	87
896	753	86
897	754	85
898	755	84
899	755	83
900	756	83
901	757	82
902	758	81
903	758	80
904	759	79
905	759	78
906	760	77
907	761	77
908	761	76
909	762	75
910	763	74
911	763	73
912	764	72
913	765	71
914	765	71
915	766	70
916	767	69
917	767	68
918	768	67
919	769	66
920	769	66
921	770	65
922	770	64
923	771	63
924	772	62
925	772	61
926	773	60
927	774	60
928	775	59
929	775	58
930	776	57
931	777	56
932	777	55
933	778	55
934	778	54
935	779	53
936	780	52
937	781	51
938	781	50
939	782	49
940	782	49
941	783	48
942	784	47
943	784	46
944	786	45
945	786	44
946	787	44
947	788	43
948	789	42
949	789	41
950	790	40
951	791	39
952	791	39
953	792	38
954	793	37
955	793	36
956	794	35
957	795	34
958	795	34
959	796	33
960	797	32
961	798	31
962	798	30
963	799	29
964	800	29
965	800	28
966	801	27
967	801	26
968	802	25
969	803	24
970	803	24
971	804	23
972	805	22
973	806	21
974	806	20
975	807	19
976	807	19
977	808	18
978	809	17
979	809	16
980	810	15
981	811	14
982	812	14
983	813	13
984	813	12
985	814	11
986	815	10
987	815	9
988	816	9
989	817	8
990	818	7
991	818	6
992	819	5
993	820	4
994	820	4
995	821	3
996	821	2
997	822	1
998	823	0
999	824	0
